Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Follower Count,Followers gained,Views gained,Partnered,Mature,Language
PsheroTV,228376905,184215,10739,1166,202779,0,59927,5384623,TRUE,TRUE,English
Yamikazexz,137528370,74490,12411,1643,201657,0,161100,5719244,TRUE,FALSE,English
NeVeR_LosEs,309559170,82635,9671,3680,200953,0,23806,10608507,TRUE,FALSE,Chinese
qSnake,212541900,152955,5441,1389,200878,0,37641,6296155,TRUE,FALSE,Russian
MuTeX,133816530,150015,9448,824,200619,0,114872,1615269,TRUE,TRUE,English
MiltonTPike1,149975130,81960,8838,1845,200012,0,25768,2185519,TRUE,FALSE,English
Adin2Huncho,124133550,64920,14502,1470,199880,0,162642,956614,TRUE,FALSE,English
IFrostBolt,158035530,169260,6210,897,199618,0,106749,2723926,TRUE,FALSE,English
AnthonyZ,154524165,117735,7416,1216,199617,0,23303,2812219,TRUE,FALSE,English
kutcherlol,153784695,138060,6802,1093,198818,0,36059,5070320,TRUE,FALSE,German
Ziqoftw,131821710,94515,10569,1293,198304,0,33547,4933908,TRUE,FALSE,English
SNEUX,254717640,57510,30067,3748,196635,0,155555,4540889,TRUE,FALSE,Spanish
supertf,244635645,90585,9118,2526,196136,0,139939,3551440,TRUE,FALSE,English
핑맨 (95pingman),164673495,47430,26738,3449,195423,0,97696,3424139,TRUE,FALSE,Korean
도현_ (d_obby),195270330,129525,16860,1401,195405,0,153300,5913454,TRUE,FALSE,Korean
NeverSayYesTwitch,180978855,115455,10771,1357,194933,0,176218,3381154,TRUE,FALSE,French
쫀득이_ (pjs9073),205748130,79215,15654,2597,193757,0,115990,5979215,TRUE,FALSE,Korean
ESL_CSGO_FR,126026325,53295,22857,2570,193614,0,26073,4124889,TRUE,FALSE,French
Kaydop,145291695,64830,23304,2268,193058,0,117412,3185925,TRUE,FALSE,French
Ezekiel_III,136597425,109890,18804,1190,190452,0,8969,4018240,TRUE,TRUE,English
Jay3,187658970,165585,9514,1111,189654,0,124100,3079327,TRUE,FALSE,English
CoconutB,147918285,122565,4596,1171,188378,0,62459,2691775,TRUE,TRUE,English
Weak3n,146770110,115470,2922,1260,188176,0,30028,4780580,TRUE,FALSE,English
armateam,183066645,379680,3181,479,187315,0,8680,3569807,TRUE,FALSE,French
lolesportsla,163132800,40950,37187,4586,186208,0,71514,5283711,TRUE,FALSE,Spanish
BigSpinCR,175255470,92970,21815,1824,185784,0,81726,2995202,TRUE,FALSE,German
짬타수아 (zzamtiger0310),171115545,90345,6217,1876,185684,0,46791,6693148,TRUE,FALSE,Korean
uzra,812362125,208785,14181,3683,185506,0,29752,20715640,TRUE,FALSE,Chinese
Igromania,172086390,186960,6159,939,184078,0,13710,115312954,TRUE,FALSE,Russian
NiceWigg,193912155,130140,13013,1475,184033,0,111498,2871081,TRUE,FALSE,English
iceiceice,130179570,37545,8409,3107,183960,0,57797,2582911,TRUE,FALSE,English
Paoloidolo,156901800,125115,7659,1205,183900,0,57927,4585217,TRUE,FALSE,Italian
홍방장 (game2eye),173015430,96045,5698,1669,183891,0,22221,5266599,TRUE,FALSE,Korean
Alfie,194074230,181755,15588,971,183885,0,33462,3380440,TRUE,FALSE,English
Veritas,320121405,135150,103833,1595,182492,0,131913,4176079,TRUE,FALSE,English
Kyle,501208575,161295,9339,3059,182260,0,60506,5692219,TRUE,TRUE,English
cyr,252345645,146190,19267,1678,182107,0,49771,4106827,TRUE,TRUE,English
CzechCloud,207938580,145050,8212,978,180668,0,111145,9000160,TRUE,FALSE,Czech
嬌兔 (zrush),436243530,137910,10628,3084,180412,0,49296,13297850,TRUE,TRUE,Chinese
yamatonjp,359095725,159420,8247,2269,179920,0,67794,10882318,TRUE,FALSE,Japanese
iamSometimes,186597300,102870,23238,2004,179552,0,99162,4766495,TRUE,FALSE,Thai
Cerbero_Podcast,155187570,57120,19298,2647,179420,0,132867,4071398,TRUE,FALSE,Italian
BeyondTheSummit_PT2,159647175,104955,126254,796,178612,0,137968,4834852,TRUE,FALSE,Portuguese
Remx,122192850,99180,13788,1205,178553,0,59432,2049420,TRUE,FALSE,French
Opat04,222161730,116775,9497,1814,178477,0,109720,6632006,TRUE,FALSE,Czech
고차비 (kumikomii),249821475,152370,5227,1615,177741,0,62122,5979126,TRUE,FALSE,Korean
Calebhart42,246974370,124830,6763,1808,177595,0,13410,2533119,TRUE,FALSE,English
Payo,385755615,137400,12274,2772,175503,0,112595,11672019,TRUE,FALSE,English
WePlayEsport_EN,704823000,107745,87751,6127,175061,0,137229,17857171,TRUE,FALSE,English
RiotGamesRU,352700745,17880,73049,19753,173861,0,75538,6832561,TRUE,FALSE,Russian
ZiggyDLive,123398085,99075,18437,1227,173807,0,15899,4249580,TRUE,FALSE,English
BRNWOWZK1,173484990,365670,6981,465,173713,0,87295,5330221,TRUE,TRUE,Portuguese
DaigoTheBeasTV,141183435,57525,27261,2225,173271,0,42313,4166521,TRUE,FALSE,Japanese
SaltyTeemo,247613265,517980,1803,476,173196,0,36103,2117741,FALSE,FALSE,English
Zombie_Barricades,173823135,228765,4497,735,172386,0,60031,2219053,TRUE,TRUE,English
Pace22,247862850,156975,10350,1524,171871,0,112723,3080537,TRUE,TRUE,English
쌍베 (pacific8815),483895050,120435,20936,3992,171858,0,54326,14452008,TRUE,FALSE,Korean
Puppers,143414790,98595,6798,1458,171425,0,64591,1753517,TRUE,FALSE,English
icebergdoto,221837100,52380,16441,3746,171113,0,84551,6944929,TRUE,FALSE,Russian
TMemoryy,124620795,130440,3244,924,171107,0,64750,1027960,TRUE,FALSE,English
쉐리 (kss7749),301790445,115380,12295,2403,170718,0,19597,7546887,TRUE,FALSE,Korean
Zalae,133078635,95010,5934,1351,170668,0,23494,1776974,TRUE,FALSE,English
BananaSlamJamma,159071145,113595,5152,1263,170181,0,23267,2546439,TRUE,TRUE,English
懶貓 (failverde),437353350,184845,14610,2348,169973,0,29861,13001718,TRUE,FALSE,Chinese
플러리 (flurry1989),505333050,128790,12084,3859,169505,0,51935,10969148,TRUE,FALSE,Korean
Rogue,159761910,121005,7289,1186,169330,0,147217,2431075,TRUE,FALSE,English
luke4316live,181729410,307005,2757,636,168531,0,36988,4795414,TRUE,FALSE,Italian
SayNoToRage,150150330,137820,8014,1010,168463,0,17619,1552234,TRUE,FALSE,English
RaizQT,286839210,121965,15185,2164,167584,0,31194,5190502,TRUE,FALSE,English
Crystal_LoL,206487075,139725,7471,1466,167132,0,98846,5571500,TRUE,FALSE,Turkish
철면수심 (109ace),335311860,145425,12180,2202,166726,0,35165,7631326,TRUE,FALSE,Korean
MarcaoRX,359273445,336690,5210,1258,166594,0,65904,4541683,TRUE,TRUE,Portuguese
RelaxBeats,123273930,521430,2830,235,166162,0,29595,1094850,TRUE,FALSE,English
Smoke,261617925,100050,25500,2331,166007,0,53212,2955403,TRUE,FALSE,English
CrReaM,166587645,142350,8098,1150,165906,0,6207,1614843,TRUE,TRUE,English
녹두로 (nokduro),555637890,140670,15858,4040,165823,0,95603,9518923,TRUE,FALSE,Korean
CarritosKami,159557775,104955,14634,1681,165439,0,67444,6694660,TRUE,FALSE,Spanish
龜狗 (gueigotv),194262165,134895,9918,1373,165232,0,25466,6005834,TRUE,TRUE,Chinese
러너교 (runner0608),124525605,52785,17926,2434,164902,0,58988,4276695,FALSE,FALSE,Korean
살인마협회장 (sal_gu),326488155,122925,16252,2663,164092,0,45255,6226900,TRUE,FALSE,Korean
ipav999,144114480,191400,2536,737,163956,0,82668,2920832,TRUE,FALSE,English
keanelol,327242790,147255,7208,2176,162917,0,85035,4068823,TRUE,FALSE,English
limit_maximum,288857850,85905,124818,1886,162040,0,70116,5965543,TRUE,TRUE,English
Sintica,128908575,94845,8467,1207,160387,0,110955,7008648,TRUE,FALSE,German
T90Official,279691620,76395,51422,3379,160226,0,69044,6886631,TRUE,FALSE,English
Sweatcicle,161489220,137880,14550,1023,160000,0,120954,2372907,TRUE,TRUE,English
Shotz,385739280,153105,10316,2523,159763,0,48388,5464553,TRUE,TRUE,English
BarbarousKing,419187600,188895,13419,2244,159402,0,42931,4822422,TRUE,TRUE,English
JokerdTV,271815660,120165,319862,2013,159384,0,157656,9070954,TRUE,TRUE,English
JustCooman,262612740,76035,10776,3287,159117,0,89413,7809170,TRUE,FALSE,Russian
leplol1,128314530,125385,9307,1444,157981,0,116243,3163399,FALSE,FALSE,Portuguese
OGADotaPIT,216072855,18705,60846,10161,157820,0,48664,8333671,TRUE,FALSE,English
QuattroAce,342273825,185715,48810,1696,157620,0,136490,7245324,TRUE,FALSE,Russian
貝莉莓 (beryl_lulu),140500785,81990,15901,1739,156726,0,49522,9765341,TRUE,FALSE,Chinese
GingiTV,171013470,89805,6450,1713,156597,0,45047,5117439,TRUE,FALSE,English
FlexZ,127550640,114750,14278,897,155382,0,133959,3254805,TRUE,FALSE,Spanish
Sanchovies,180166830,141225,15588,1250,154845,0,145102,3924344,TRUE,FALSE,English
Alkaizerx,161185890,103950,12430,1312,153870,0,21706,3152805,TRUE,TRUE,English
aircool,137305080,128055,12620,964,153703,0,120570,1628826,TRUE,FALSE,English
PENTA,280798065,116745,7172,2322,152821,0,40474,2786097,TRUE,TRUE,English
KarmikKoala,262630950,120450,10587,2205,151920,0,71165,8619663,TRUE,FALSE,Russian
CaMaK,154277370,87375,9437,1759,151886,0,7578,3019137,TRUE,TRUE,French
iProMx,171223080,36000,8874,4576,151788,0,80190,1637792,TRUE,FALSE,French
TpaBoMaH,139724325,92445,6813,1531,151266,0,85717,7804776,TRUE,FALSE,Russian
CasinoDaddy,577240710,267465,6524,2168,151098,0,42680,7493491,FALSE,TRUE,English
H0llyLP,149766195,130860,4958,1116,151000,0,11875,3846703,TRUE,TRUE,German
Broeki1,186562710,141675,13091,1317,150944,0,25995,4702541,TRUE,TRUE,German
RiotGamesOCE,132387150,40890,50458,3076,149775,0,65748,8437414,TRUE,FALSE,English
StaysafeTV,399746130,135180,15608,2876,149648,0,73218,7427189,TRUE,TRUE,English
gabepeixe,181929585,101730,5955,1788,149362,0,25034,2795325,TRUE,TRUE,Portuguese
김뚜띠_ (kimdduddi),219998175,90750,7244,2318,149158,0,67954,3549865,TRUE,FALSE,Korean
SolaryHS,827452485,460065,17513,1802,149073,0,35986,10445269,TRUE,FALSE,French
超負荷 (sam1268),171602475,35805,11861,4538,148702,0,20433,5691145,TRUE,TRUE,Chinese
Shaunz,379800060,97860,20861,3791,148568,0,84393,10605782,TRUE,FALSE,French
winstrike_tv,243711495,19695,153252,12058,148183,0,148055,8767404,TRUE,FALSE,Russian
Tonton,165536760,133530,9738,1237,147542,0,76656,3954958,TRUE,FALSE,French
나나양 (nanayango3o),199960005,122025,6411,1589,147351,0,63332,4789098,TRUE,FALSE,Korean
小夜夜 (albislol),152033250,208485,3740,706,146276,0,10939,4554443,TRUE,TRUE,Chinese
Worrun_,204440715,94455,41881,1728,146163,0,103762,3425022,TRUE,TRUE,English
KEEMSTAR,123365895,3465,74195,35333,146035,0,46367,7139253,FALSE,FALSE,English
Hype,126704460,81510,10030,1674,145476,0,101271,6185689,TRUE,TRUE,Turkish
guit88man,287764245,140685,7681,1989,144898,0,25130,8666012,TRUE,TRUE,Russian
감블러 (9ambler),157852620,89715,11279,1692,144116,0,77889,3731059,TRUE,FALSE,Korean
PardonMyTake,156004485,25140,141406,6728,143916,0,143806,3300371,TRUE,FALSE,English
NBA2KLeague,173779995,28245,48495,4264,143535,0,42942,67586924,TRUE,FALSE,English
kurt0411,150579045,37710,26941,4083,142446,0,114789,2221662,TRUE,FALSE,English
Aurateur,407829960,163815,15547,2492,142427,0,26782,4368785,TRUE,TRUE,English
피닉스박1 (xkwhd),205225605,179595,9938,1139,142209,0,50675,4794915,TRUE,FALSE,Korean
Vovo,162887760,150555,7268,974,141898,0,92033,3786059,TRUE,TRUE,Portuguese
RiotGamesJP,390922410,26325,60682,13675,141684,0,36105,9101692,TRUE,FALSE,Japanese
케인 (kanetv8),180360300,130365,10087,1313,141167,0,52606,7004305,TRUE,FALSE,Korean
polsatgames,340417455,57870,66706,5695,141026,0,74586,16290334,TRUE,FALSE,Polish
TheNo1Alex,206694345,176910,8554,1105,140855,0,30883,7225371,TRUE,FALSE,English
OuterHeaven,137995935,94575,6955,1101,137954,0,7924,1037346,TRUE,TRUE,English
swimstrim,162723510,108540,13314,1383,137885,0,62796,2964244,TRUE,FALSE,English
HellYeahPlay,173443275,103830,3946,1706,136885,0,31088,5014047,TRUE,FALSE,Russian
kyo1984123,325018110,204975,5967,1516,135687,0,12731,12070678,TRUE,FALSE,Chinese
Lasqa,216969405,72210,10010,2863,135446,0,25351,5298356,TRUE,TRUE,Russian
Spaceboy,144599880,123015,10590,1107,135311,0,27050,2614773,TRUE,TRUE,English
RatedEpicz,582401145,175920,11860,3336,134757,0,74221,7251200,TRUE,TRUE,English
uhSnow,280296045,88500,8375,3150,134611,0,43869,3334788,TRUE,TRUE,English
Ramee,457242510,159825,10845,2825,132642,0,74094,6606894,TRUE,FALSE,English
Odablock,247535550,101595,29397,2336,131966,0,92477,4228405,TRUE,FALSE,English
羅傑 (roger9527),195398655,34620,12707,5401,131484,0,22369,4197860,TRUE,FALSE,Chinese
Drjayfisto,177159195,155340,4092,1105,130341,0,41353,6201998,TRUE,TRUE,English
Lapi,137258130,171570,8684,789,130323,0,16992,6792456,TRUE,FALSE,French
KVYZEE,149052375,161580,8354,849,127963,0,74894,6715483,TRUE,FALSE,Russian
TommyKayLIVE,124680810,108105,3536,1124,127770,0,58673,2561302,TRUE,TRUE,English
skill4ltu,205017270,135510,4049,1503,127741,0,46398,4548052,TRUE,TRUE,English
DougisRaw,167875230,153960,22641,1076,127151,0,74509,2149900,TRUE,TRUE,English
BeatportOfficial,180850230,27765,48457,5300,126546,0,124653,36484452,TRUE,FALSE,English
theRealShooKon3,233210205,166260,6148,1333,126282,0,37207,2944974,TRUE,TRUE,English
BobbyPoffGaming,298668465,224295,6453,1254,125803,0,81131,2208405,TRUE,FALSE,English
Krayn_Live,129103425,137040,4183,918,125775,0,20572,4621526,TRUE,TRUE,French
웁_게임방송 (alenenwooptv),265229580,189900,4290,1418,125615,0,22295,5390604,TRUE,FALSE,Korean
똘똘똘이_ (jungtaejune),280810635,165945,6787,1649,124835,0,15713,8660860,TRUE,FALSE,Korean
HeyarTV,124878165,155700,2343,786,124479,0,17695,2506556,TRUE,TRUE,French
aminematue,123826230,30480,16577,4016,124232,0,123363,2316908,TRUE,FALSE,French
iateyourpie,184820460,181335,10962,987,124020,0,7942,4878552,TRUE,FALSE,English
Bonjwa,473157810,251250,11063,1802,123954,0,20250,14247514,TRUE,FALSE,German
헤징 (hejin0_0),127710465,125865,3032,1017,123451,0,72192,5800110,TRUE,FALSE,Korean
duckmanzch,192428310,129945,14684,1363,122694,0,75228,9240202,TRUE,FALSE,Thai
Slushpuppy,307001595,150525,118125,1560,122486,0,85852,5065635,TRUE,FALSE,English
KheZu,132976365,124635,5322,991,122158,0,28840,2671995,TRUE,FALSE,English
nugiyen,169858440,159135,8448,996,121984,0,22377,3448935,TRUE,FALSE,English
木棉花官方頻道 (muse_tw),625892895,446655,16702,1397,121053,0,120954,13670649,TRUE,TRUE,Chinese
Arcadum,142213980,134700,13801,992,120586,0,78642,2169921,TRUE,FALSE,English
Evangelion0,154595850,85635,8533,1777,120494,0,28322,3446723,TRUE,FALSE,Spanish
六希夫 (qttsix),216951540,154035,9671,1412,118305,0,23620,8174656,TRUE,FALSE,Chinese
球球 (lilballzlolz),141185625,78015,6328,1724,118276,0,9831,4212219,TRUE,FALSE,Chinese
akagreenn,140084580,51600,21136,2902,117916,0,114861,3514645,TRUE,TRUE,Turkish
flamuu,239018790,126915,5242,1851,117425,0,36301,3225407,TRUE,TRUE,English
Esports_Alliance,163208925,37110,27040,4293,117084,0,55445,8254877,TRUE,FALSE,Thai
Daxak,188764350,84855,7721,2061,116897,0,64239,5857325,TRUE,FALSE,Russian
MaTaFe_,169215480,153525,8535,1096,116653,0,106957,4182011,TRUE,TRUE,English
DarioMocciaTwitch,217475940,103995,8160,1749,114376,0,96707,4356099,TRUE,FALSE,Italian
SkyshockTV,154727730,94275,6213,1605,114154,0,32991,3059244,TRUE,FALSE,Spanish
CuteDog_,234058290,207090,7016,1104,113658,0,22074,3489772,TRUE,TRUE,English
chowh1,152754465,143415,8221,980,113551,0,84231,4175567,TRUE,TRUE,French
PG_Esports,199821495,107715,24734,1933,112874,0,41935,16923320,TRUE,FALSE,Italian
ImSoFresh,211617645,180060,5788,1119,111954,0,36095,3673955,TRUE,FALSE,French
GhostFreak66,179939730,107295,94791,1029,111646,0,89879,2471382,TRUE,TRUE,English
UncleBjorn,141021495,134805,4265,975,111003,0,26514,7886426,TRUE,FALSE,Russian
AladdinTV,189890160,131490,4279,1416,110211,0,45168,4298260,TRUE,FALSE,German
마스카 (newmasca),122452320,217410,6431,567,109068,0,-4942,3417970,TRUE,FALSE,Korean
BlackFIreIce,150698280,139980,3044,1070,108895,0,6130,4424196,TRUE,FALSE,Polish
Ko0416,307823730,200625,5448,1515,108784,0,12127,11705657,TRUE,TRUE,Chinese
ClassyBeef,558883590,273660,33624,1941,108623,0,88671,6626543,FALSE,TRUE,English
richwcampbell,126132675,69870,34756,1878,108410,0,57422,3790423,TRUE,FALSE,English
_연두부_ (lovelyyeon),161371665,140535,4282,1115,108382,0,74892,5389852,TRUE,FALSE,Korean
Crocodyle_lol,178727670,96000,8810,1802,107835,0,77142,3657348,TRUE,TRUE,French
WOKE,235303170,51600,50598,3827,107484,0,105725,3460437,TRUE,TRUE,English
Kamikatze,202635300,126900,8509,1586,107476,0,36955,4997073,TRUE,FALSE,German
roflgator,153963765,110910,14329,1281,106365,0,46487,1449834,TRUE,TRUE,English
貝克 (slrabbit99),151739370,112845,5944,1329,106235,0,2495,4838617,TRUE,TRUE,Chinese
인간젤리 (ses836),190448565,157200,7683,1213,105730,0,29332,5099767,TRUE,FALSE,Korean
OgamingSC2,253498875,484455,11457,547,105368,0,11075,15776556,TRUE,FALSE,French
c9judite,235689105,364425,8210,644,105341,0,84754,7982996,TRUE,FALSE,Portuguese
masondota2,250624350,83205,8377,2882,104526,0,39906,3406472,TRUE,FALSE,English
Naowh,165590085,120435,11693,1333,103636,0,48833,5069397,TRUE,FALSE,English
김나성 (naseongkim),350120640,215505,7628,1584,103260,0,20536,8471746,TRUE,FALSE,Korean
NumotTheNummy,123899265,105930,3359,1118,103069,0,8045,1530401,TRUE,FALSE,English
Rubini,214130175,161985,5521,1284,102528,0,43426,7976244,TRUE,TRUE,Portuguese
Draineo,155593140,124095,7777,1169,102225,0,65702,175788,TRUE,FALSE,English
VaporaDark,168943005,70650,5041,2338,101359,0,22193,7610128,TRUE,FALSE,English
shtan_udachi,173627565,87210,7220,1929,100852,0,22524,3970603,TRUE,FALSE,Russian
LRojo_,144763395,111435,11178,1192,100767,0,82320,3959878,TRUE,FALSE,Spanish
rhobalas_lol,135169095,174210,5224,779,100599,0,69851,3011205,TRUE,FALSE,French
Spraggy,139893270,81585,30415,1674,99807,0,35453,3037728,TRUE,FALSE,English
지수소녀 (wltn4765),127291245,134070,9379,980,99600,0,68129,6213041,TRUE,FALSE,Korean
Linkus7,142322655,121755,7248,1121,96728,0,41862,1866513,TRUE,FALSE,English
CyrusTWO,131621775,128085,2727,1027,96691,0,25277,5787660,TRUE,TRUE,Swedish
Hitch,124224555,132870,3976,875,96343,0,30813,1942552,TRUE,TRUE,English
FENGRUSH,521568750,100605,16128,4985,95643,0,23288,44675247,TRUE,FALSE,English
소우릎 (so_urf),293688270,167895,9665,1756,95477,0,44040,8120712,TRUE,FALSE,Korean
MadDecentLive,129993915,42510,36968,3069,95371,0,95352,44291541,FALSE,FALSE,English
Back2Warcraft,171822405,93345,8309,1697,94929,0,21267,4016790,TRUE,FALSE,German
Bawkbasoup,168736395,130215,7853,1259,94820,0,27795,2313340,TRUE,TRUE,English
Xop0,262276575,235920,4074,1110,94751,0,50725,18709302,FALSE,FALSE,Russian
Xnapycz,141426165,87885,4388,1572,94551,0,44450,4521040,TRUE,TRUE,Czech
聶寶 (nielnieh345),140168070,186015,5455,728,93991,0,18742,4755073,TRUE,FALSE,Chinese
Flashpoint,311325840,19320,77708,11713,93616,0,93120,27828448,TRUE,FALSE,English
Speedrun,186800430,500010,16604,375,93358,0,51098,13863239,TRUE,FALSE,English
Markstrom,129129615,106620,71423,915,93045,0,35277,1829062,TRUE,FALSE,English
Tomato,205792050,76080,5358,2675,92634,0,36010,2200922,TRUE,TRUE,English
runitup247,205746015,486000,1182,422,91608,0,30397,2424188,TRUE,FALSE,English
GN_GG,185795730,108075,4859,1715,91514,0,14734,3333965,TRUE,FALSE,Russian
easywithaces,159655155,107910,18686,1388,90359,0,35096,3279762,TRUE,TRUE,English
chistor_,246342825,128430,7099,1838,89608,0,30354,5658271,TRUE,FALSE,Russian
purple_hs,140426535,111810,5460,1149,88792,0,18850,1512076,TRUE,FALSE,English
DuelLinksMeta,163307010,89910,5792,1886,88697,0,33306,6092699,TRUE,FALSE,English
Sonecarox,133976280,239655,2445,569,87530,0,21318,3105118,TRUE,TRUE,Portuguese
Bamboe,134431230,118920,5956,1075,86644,0,25348,2322578,TRUE,FALSE,English
Everyeyeit,187019640,133125,18421,1236,86590,0,42213,52155951,TRUE,FALSE,Italian
mailand,124936395,86865,6867,1400,86561,0,31605,3923343,TRUE,TRUE,German
Nattank,241616550,144480,8770,1537,86544,0,67207,8232442,TRUE,TRUE,Portuguese
CeMka,127117680,110550,18473,979,86502,0,22116,4241970,TRUE,FALSE,Russian
자동 (tranth),196585155,142260,5451,1402,85764,0,11733,5114165,TRUE,FALSE,Korean
wingz,128746905,92715,3940,1347,85695,0,32924,3057045,TRUE,FALSE,Spanish
VooDooSh,329448660,137670,7560,2519,85678,0,66129,9003037,TRUE,TRUE,Russian
kyliebitkin,147948870,127485,6688,1142,85336,0,25720,2468122,TRUE,TRUE,English
蝦愛橘子 (shuteye_orange),728551080,325935,7441,2217,85247,0,29549,18572922,TRUE,TRUE,Chinese
DesertHeartsRecords,276313155,64620,24264,3620,85097,0,84304,58418224,FALSE,FALSE,English
Sh4dowehhh,229762950,112875,11788,2012,84234,0,70619,6477747,TRUE,FALSE,Russian
루시아 (lucia94),224762820,141705,8886,1603,82578,0,37026,5801449,TRUE,FALSE,Korean
Bidule,126808620,61395,10100,2052,82570,0,64920,2486535,FALSE,TRUE,French
DownToQuest,281365035,513540,20723,543,82299,0,53724,3524088,TRUE,TRUE,English
Pun1shers_TV,230552955,123345,6289,1961,82289,0,51159,4148542,TRUE,FALSE,Greek
AlcastHQ,132082785,28905,12999,4680,81928,0,24582,41833833,TRUE,FALSE,English
Pelegrino1993,147243720,129210,6236,1074,80566,0,64799,1772816,TRUE,FALSE,Portuguese
Monkeynews,179083095,154965,72483,1288,80290,0,54112,4978021,TRUE,TRUE,English
WillerZ,129956310,133770,24663,872,79392,0,68899,2344895,TRUE,TRUE,English
monkeys_forever,145475145,80460,6738,1563,79270,0,34329,2106144,TRUE,FALSE,English
BoarControlHS,166892040,153345,3622,1064,79204,0,39363,2852825,TRUE,FALSE,English
RiffTrax,293583075,521445,24765,562,79099,0,17200,3313465,TRUE,FALSE,English
RyuQuezacotl,125680845,125820,4022,976,79063,0,9884,1867494,TRUE,TRUE,English
RaulZitoYT,139249440,131460,6545,839,78971,0,76729,2725303,TRUE,FALSE,Portuguese
햇살살 (hatsalsal),156211005,119040,3915,1302,77861,0,25730,5576914,TRUE,FALSE,Korean
재슥짱 (pikra10),140512860,124170,4659,1068,77376,0,42516,2973636,TRUE,FALSE,Korean
Wardiii,196743645,104280,9459,1670,76777,0,31905,3970743,TRUE,FALSE,English
k3soju,215233395,125865,7504,1647,76666,0,70939,2609837,TRUE,FALSE,English
tebtv,161468685,69315,13639,2177,76050,0,59909,10310607,TRUE,FALSE,English
Buozzi,124926540,142785,4036,872,75290,0,39547,5126434,TRUE,TRUE,Portuguese
LuquEt4,169456620,153855,4958,1081,74404,0,45202,2807619,TRUE,TRUE,Portuguese
NoctisAK47,189081300,171270,7264,1052,73584,0,41176,6381664,TRUE,TRUE,Thai
primeleague,144858945,30510,19013,4427,73409,0,71211,5606593,TRUE,FALSE,German
Flambass,148717500,130395,5507,1138,71953,0,26918,2319131,TRUE,TRUE,English
RTAinJapan,179880525,16155,42822,8383,71730,0,44766,2700751,TRUE,FALSE,Japanese
1PVCS,156821940,53835,23081,2256,71596,0,31807,8056327,TRUE,FALSE,French
ALLinPav,124058985,137760,6221,850,71579,0,21360,3156265,TRUE,TRUE,English
CalebDMTG,200582400,121635,5446,1608,71327,0,9005,1563033,TRUE,FALSE,English
murilo_RT,129898080,383955,8185,315,70814,0,55939,3070308,TRUE,TRUE,Portuguese
jorbs,151128345,117795,4084,1243,70609,0,20603,1410877,TRUE,FALSE,English
bebe872,217343400,212205,4965,1087,70232,0,51251,2383295,TRUE,FALSE,English
SlotRoom247,124078200,373800,20609,326,69183,0,69113,1338301,FALSE,TRUE,German
JeffHoogland,130973670,113655,3375,1070,68914,0,7290,1965274,TRUE,FALSE,English
crokeyz,292698660,163095,5916,1796,68907,0,36715,3476636,TRUE,FALSE,English
Japan_ASMR,138935670,509670,496,271,67707,0,32649,1272641,TRUE,FALSE,Japanese
allkeyshop_tv,663185955,487005,6075,1361,67472,0,26937,55639770,TRUE,FALSE,English
robn_live,137249820,133545,73664,656,66223,0,63975,1502917,TRUE,FALSE,English
chess24,207560115,82035,32856,1603,66198,0,49745,20337169,TRUE,FALSE,English
CurtisRyan,201233880,162660,7245,1205,65688,0,33141,3760730,TRUE,TRUE,English
FanHOTS,147664290,134550,2104,1090,64587,0,27948,2451118,TRUE,FALSE,English
Sigma,125477415,94695,81683,798,61206,0,54151,1334161,TRUE,TRUE,English
Steelmage,311218875,178485,10815,1696,60987,0,37839,7005761,TRUE,FALSE,English
매직박 (yagubu),126240810,66165,25478,1666,59697,0,53490,3379601,TRUE,FALSE,Korean
Multiplayerit,129567630,111795,15237,1053,58786,0,17650,30889814,TRUE,FALSE,Italian
Sologesang,139273200,123390,5120,1072,58531,0,26062,4569358,TRUE,FALSE,German
踢虧 (takesipon),164981160,111600,8103,1534,57634,0,11867,3983662,TRUE,FALSE,Chinese
BeBePtv,211307910,110010,14353,1865,57205,0,24674,63847323,TRUE,FALSE,Russian
강퀴 (kangqui),156544635,112755,10809,1400,57130,0,18133,3877756,TRUE,FALSE,Korean
スタンミ (sutanmi),217833015,80190,7854,2683,53124,0,16505,3473483,TRUE,FALSE,Japanese
LightFuryLF,142094850,111315,15139,1169,51589,0,32663,4989684,TRUE,FALSE,Thai
Kurumx,202487955,131190,16413,1543,50286,0,49439,2485867,TRUE,FALSE,English
Destructoid,122628630,103020,14566,1190,48007,0,8995,87603521,TRUE,FALSE,English
Killars,146865810,210810,4232,642,46971,0,15728,1747381,TRUE,FALSE,English
Altair,178537155,145605,3702,1183,42265,0,19448,2779740,TRUE,TRUE,French
포셔 (portialyn),180674100,128385,4498,1349,39485,0,29698,2460689,TRUE,FALSE,Korean
twlevewinsHS,174228915,102900,5425,1711,38410,0,31257,1353428,TRUE,FALSE,English
무굴 (moogrr1211),167186250,188805,2008,879,37162,0,10214,3006979,TRUE,FALSE,Korean
크캣66 (crazzyccat),123279435,192780,2543,644,35930,0,24849,1889696,TRUE,FALSE,Korean
스피드소닉 (dragon3652),132487740,243375,2379,529,35503,0,11620,4618003,TRUE,FALSE,Korean
HGmony,290461620,111360,21999,2465,34358,0,32326,90310969,FALSE,FALSE,Russian
BotanicX,144361350,71445,9135,1937,34119,0,11512,9335252,FALSE,FALSE,Russian
