Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Follower Count,Followers gained,Views gained,Partnered,Mature,Language
Elajjaz,726000045,145755,13080,4922,346566,1,37883,12800182,TRUE,FALSE,English
Naru,127650015,39825,13744,3045,344859,1,123779,5321664,TRUE,FALSE,Turkish
SoyPan,129903855,132840,13884,954,343191,1,162018,2167760,TRUE,FALSE,Spanish
mL7support,260845395,115380,9038,2124,342850,1,140872,5387428,TRUE,FALSE,English
jean_mago,261252810,113445,11418,2012,342691,1,269837,7609872,TRUE,FALSE,Portuguese
StarCraft,130159470,14850,56109,6636,342409,1,22130,4110003,TRUE,FALSE,English
just_ns,376209315,93615,37023,3969,341549,1,66811,12351240,TRUE,FALSE,Russian
NairoMK,335695215,106200,22074,3054,339545,1,69474,6132895,TRUE,FALSE,English
Gladd,543954570,171195,54477,2779,337972,1,157424,9290817,TRUE,FALSE,English
ESL_DOTA2,661049190,212010,99858,4714,337177,1,91323,14784068,TRUE,FALSE,English
fuslie,178245645,67560,45247,2504,336394,1,116757,7152158,TRUE,FALSE,English
AvoidingThePuddle,309117315,80955,13108,3893,336181,1,67040,4202354,TRUE,TRUE,English
hexy,186060390,90495,14020,2092,336093,1,20006,2855592,TRUE,FALSE,English
Jerma985,269372580,57495,15921,4773,334594,1,92752,3411872,TRUE,TRUE,English
Sykkuno,272813670,91035,29658,2530,334591,1,305734,5285377,TRUE,FALSE,English
Harmii,140304750,116130,7200,1159,333858,1,168452,3556031,TRUE,FALSE,German
接接 (godjj),544706325,126705,12461,4378,331744,1,19325,20264128,TRUE,FALSE,Chinese
Surefour,124056555,53145,7911,2289,331662,1,46991,2066041,TRUE,TRUE,English
Shlorox,625142130,115650,13945,5216,331632,1,77979,13181386,TRUE,FALSE,German
Mixwell,238993935,52905,23552,4219,331208,1,271798,6539837,TRUE,FALSE,Spanish
BotezLive,283479405,115845,36278,1985,330772,1,280964,12851602,TRUE,FALSE,English
midbeast,324433515,118005,16153,2652,330060,1,143256,10000927,TRUE,FALSE,English
Maghla,175236000,77505,16695,2124,329065,1,234216,6831650,TRUE,TRUE,French
mang0,202842615,140325,24391,1403,328671,1,53694,3077795,TRUE,TRUE,English
melharucos,468792120,130275,13825,3519,328473,1,59167,17845821,TRUE,TRUE,Russian
orslok,173607810,52005,21759,3082,327888,1,269085,5048873,TRUE,FALSE,Spanish
StereOnline,327697680,400770,4227,785,327645,1,91352,4620985,TRUE,FALSE,Portuguese
Chess,521511525,96315,83666,5767,326118,1,181232,84500786,TRUE,FALSE,English
SkipNhOLIVE,600910875,498765,7940,1196,324765,1,271487,6544645,TRUE,FALSE,Portuguese
R6esportsBR,246712590,47100,60386,4021,323856,1,98848,5855733,TRUE,FALSE,Portuguese
modestal,316203420,55455,25985,5660,323364,1,193939,11440074,TRUE,FALSE,Russian
따효니 (ddahyoni),711864630,152445,17253,4534,322895,1,46946,15586820,TRUE,FALSE,Korean
xTheSolutionTV,172316145,78030,16093,2027,320629,1,103800,2778565,TRUE,FALSE,German
Alderiate,227675805,69030,11480,3337,319860,1,80730,5471250,TRUE,FALSE,French
MrBboy45,191523465,110835,9408,1659,318995,1,57504,6445684,TRUE,FALSE,French
XBOCT,173672880,35970,20110,4473,318230,1,78529,5635774,TRUE,FALSE,Russian
Broxah,212141310,46605,13137,4269,317896,0,209200,5351294,TRUE,FALSE,English
sleepy,231452460,107280,8855,2103,317125,0,254462,3295029,TRUE,FALSE,English
Deadlyslob,438143850,119085,104568,3088,315637,0,130944,6321235,TRUE,FALSE,English
LPMassive,195448335,81270,18813,2181,315264,0,22874,2409670,TRUE,FALSE,German
Distortion2,354144315,170220,11495,1953,314170,0,44982,5500067,TRUE,TRUE,English
mandiocaa1,132533775,29685,9540,4355,312944,0,29691,2567198,TRUE,TRUE,Portuguese
WagamamaTV,231985905,178470,7377,1268,312799,0,20933,3880798,TRUE,FALSE,English
maxim,236707830,71685,21262,3173,312566,0,129119,5439874,TRUE,TRUE,German
Xiuder_,166422960,172080,13675,909,312280,0,298759,3022408,TRUE,FALSE,Italian
Mushway,158995065,56820,9611,2638,310100,0,233686,3178181,TRUE,FALSE,French
JonBams,139067415,88830,5577,1522,309837,0,75728,1940922,TRUE,TRUE,English
Solaaaa,227479455,96375,16718,2227,309594,0,107558,5135340,TRUE,FALSE,German
소풍왔니 (yumyumyu77),315613800,66315,24521,4496,309322,0,46911,13030325,TRUE,FALSE,Korean
BreaK,167534355,115560,9531,1432,309300,0,18289,3880016,TRUE,TRUE,English
실프_ (silphtv),385176540,197055,9401,1891,309065,0,87400,7215989,TRUE,FALSE,Korean
Heelmike,216316170,101400,18963,2115,308927,0,208795,3406743,TRUE,TRUE,English
mokrivskyi,154332060,27105,29983,5864,308815,0,304008,8255635,FALSE,FALSE,Russian
울프 (lol_woolf),532969650,50910,73800,9633,308528,0,141297,9294132,TRUE,FALSE,Korean
Valkia,194961090,106335,23519,1008,308459,0,146451,8091070,TRUE,FALSE,English
Moondye7,261610875,97350,22231,2530,306920,0,39732,6839587,TRUE,FALSE,German
WARDELL,178718460,127155,16215,1394,306435,0,288200,5304936,TRUE,TRUE,English
ESL_SC2,234726075,278745,40072,1414,305311,0,36130,5674624,TRUE,FALSE,English
fps_shaka,1131509385,215160,26572,5195,303671,0,128907,21331882,TRUE,FALSE,Japanese
C_a_k_e,588662010,129660,17317,4403,302633,0,45957,18161823,TRUE,FALSE,Russian
TSM_ImperialHal,459076530,120975,23107,3550,302593,0,287810,8907366,TRUE,FALSE,English
PaymoneyWubby,168861240,30600,16622,5485,302419,0,126399,2668187,TRUE,FALSE,English
SilentSentry,141219225,125760,5572,1085,301633,0,13533,1896110,TRUE,FALSE,English
과로사1 (aram4519),136944300,81570,14167,1592,301329,0,179604,5711063,TRUE,FALSE,Korean
얍얍 (yapyap30),422278350,46800,36933,9306,301033,0,26768,9798569,TRUE,FALSE,Korean
dasMEHDI,1172969025,231465,47683,5013,299048,0,76568,7422911,TRUE,TRUE,English
koil,403848390,145035,13421,2791,299033,0,50231,7743238,TRUE,TRUE,English
Tyceno,177947595,42825,40407,4015,297359,0,250536,1623230,TRUE,TRUE,English
Tanovich,133079115,89865,10352,1434,296560,0,219383,3677360,TRUE,TRUE,Spanish
Kiwo,299469345,234330,10836,1243,296481,0,38195,4900030,TRUE,TRUE,English
GernaderJake,218318010,146295,21162,1347,295771,0,70693,8847646,TRUE,FALSE,English
ZLOYn,128586435,49230,14155,2603,294277,0,284221,6731111,TRUE,FALSE,Russian
adolfz,299235990,62520,15928,4926,294217,0,154653,2743587,TRUE,TRUE,Portuguese
dinablin,144307800,60870,29316,2413,293748,0,239896,11129949,TRUE,FALSE,Russian
Strippin,227458650,121575,9127,1816,293665,0,19904,3115313,TRUE,FALSE,English
Mathil1,561997440,134715,25866,3953,293595,0,66982,13159849,TRUE,FALSE,English
runthefutmarket,265426125,84945,20746,2999,292812,0,146753,4266359,TRUE,FALSE,English
venruki,170464680,133110,13179,1264,292558,0,44449,7127552,TRUE,FALSE,English
공혁준 (rhdgurwns),289103100,76590,40001,3828,289455,0,67061,12487303,TRUE,FALSE,Korean
김도 (kimdoe),549244755,134985,11759,4062,287639,0,10062,14188002,TRUE,TRUE,Korean
Tourva,146412075,116070,5067,1185,287553,0,182413,7888629,TRUE,TRUE,English
Vargskelethor,164759730,58395,6577,2809,287063,0,60041,2147906,TRUE,TRUE,English
JohnPitterTV,461605275,508965,4148,900,286184,0,211365,19054606,TRUE,FALSE,Portuguese
ArQuel,134912310,116415,9110,1122,285920,0,45153,4895500,TRUE,FALSE,Polish
Criken,212449905,113040,11050,1828,285509,0,32753,3593487,TRUE,TRUE,English
룩삼 (looksam),232224165,75030,32222,3302,285474,0,14351,7901792,TRUE,FALSE,Korean
KriszhAdvice,258011790,147675,28709,1593,284899,0,97984,6927865,TRUE,FALSE,Hungarian
G4G_REVENANT,237767160,82110,14376,2947,284620,0,69353,6608568,TRUE,FALSE,Spanish
pankylol,161208750,51015,17394,3141,284563,0,166114,7887006,TRUE,FALSE,Turkish
ItsSlikeR,218576850,95655,12762,2317,283503,0,154360,5243404,TRUE,TRUE,English
殺梗 (xargon0731),401439255,155325,8406,2549,283232,0,16999,17013239,TRUE,FALSE,Chinese
KarasMai,195800370,138300,6728,1374,281664,0,139915,3975842,TRUE,FALSE,English
BlackUFA,345166455,88035,10349,3889,279922,0,34803,12888906,TRUE,FALSE,Russian
양띵 (yd0821),236218920,28275,38412,8075,279864,0,56233,1901665,TRUE,FALSE,Korean
x6FlipiN,193573740,61095,19304,2712,279204,0,186655,6462906,TRUE,TRUE,Spanish
QuarterJade,153857655,61980,12144,2286,277256,0,167202,3921702,TRUE,FALSE,English
RebirthzTV,548041425,118920,14578,4629,276694,0,76546,8434367,TRUE,FALSE,Thai
악어 (jdm2088),458883255,32625,65622,15405,276488,0,132821,5377506,TRUE,FALSE,Korean
BurkeBlack,372767025,171675,4922,2154,276421,0,13471,5367772,TRUE,TRUE,English
Klean,545108145,169605,101124,2801,276242,0,154466,7844435,TRUE,FALSE,English
IlloJuan,251067885,60495,24315,4087,275174,0,178705,5676686,TRUE,FALSE,Spanish
김진우 (jinu6734),597275955,121545,12810,4710,274875,0,90213,9977487,TRUE,FALSE,Korean
LenaGol0vach,124876665,30210,9115,4159,274237,0,40915,2969471,FALSE,FALSE,Russian
YoMax,131072925,58380,16952,2051,273980,0,129000,1715466,TRUE,FALSE,French
ElOjoNinja,134761230,82020,9339,1484,273504,0,133594,5226901,TRUE,FALSE,Spanish
StRoGo,140812395,29385,45087,4621,272944,0,258332,5978117,TRUE,FALSE,Russian
西門夜說 (westdoor),128928105,109065,5363,1165,272662,0,16908,5018006,TRUE,TRUE,Chinese
Corobizar,153988380,83325,11200,1787,272635,0,84933,4345590,TRUE,FALSE,French
JLWaliid,213819030,94875,19603,2239,272391,0,246417,4345817,TRUE,FALSE,French
Gabi,126779310,63480,17866,2174,271202,0,178648,3821231,TRUE,FALSE,Portuguese
DatModz,409985220,228615,14288,1753,270720,0,36757,9812812,TRUE,FALSE,English
Xari,361741665,80535,28830,4841,269447,0,147894,5746209,TRUE,FALSE,French
Dhalucard,192609885,83400,22306,1828,269408,0,97678,7444967,TRUE,FALSE,German
cacho01,152494320,54645,18552,2669,269080,0,250197,2516244,TRUE,FALSE,Spanish
ops1x,128783415,68235,23490,1457,268942,0,254190,3050489,TRUE,FALSE,English
Kubon_,195943620,145845,9545,1323,267984,0,25721,6142647,TRUE,FALSE,Polish
Smurfdomuca,294868035,107055,18282,2843,267948,0,251923,5976634,TRUE,FALSE,Portuguese
Zizaran,460519830,156195,20745,2552,267004,0,47149,16917944,TRUE,FALSE,English
Xposed,167309220,111240,8580,1475,266853,0,147449,2220313,TRUE,TRUE,English
SheriffEli,185394810,143400,5988,1291,265814,0,11832,2355559,TRUE,TRUE,English
BikeMan,214504440,136845,7223,1486,264192,0,11101,3531376,TRUE,TRUE,English
Otzdarva,222546390,91905,14940,2387,262104,0,146762,3176930,TRUE,FALSE,English
orangemorange,338213940,122835,18387,2653,261139,0,85861,9889442,TRUE,FALSE,German
wintergaming,146245920,195615,7019,719,260779,0,13900,3609065,TRUE,FALSE,English
knekro,298811910,102210,13731,2912,260728,0,97206,10900480,TRUE,FALSE,Spanish
ZONY,163669320,147990,7172,1118,260125,0,140806,3739750,TRUE,FALSE,Polish
逼比 (bebelolz),165015915,64650,7592,2488,260119,0,26670,6966348,TRUE,FALSE,Chinese
Staiy,341874270,91545,15429,3711,259624,0,90591,5503882,TRUE,FALSE,German
大丸 (wtf_winds123),233395950,92775,11975,2410,259338,0,32952,9883708,TRUE,FALSE,Chinese
HunterGodBr,128369655,89520,51612,1737,258876,0,254260,14078099,TRUE,FALSE,Portuguese
relaxing234,428279160,51180,19194,8405,258402,0,88247,12225523,TRUE,FALSE,Chinese
BigEx,176005440,96870,21401,1569,256448,0,138235,1947938,TRUE,FALSE,English
